,1,2,3,4,5,6,7,8,9,10,11,12
A,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.041,0.038,0.038
B,0.037,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038
C,0.038,0.038,0.038,0.038,0.038,0.039,0.038,0.038,0.038,0.039,0.038,0.038
D,0.037,0.038,0.038,0.038,0.038,0.037,0.039,0.039,0.039,0.039,0.038,0.039
E,0.038,0.038,0.038,0.039,0.038,0.039,0.039,0.039,0.039,0.040,0.039,0.038
F,0.037,0.038,0.038,0.038,0.038,0.038,0.038,0.039,0.039,0.038,0.039,0.039
G,0.038,0.038,0.037,0.038,0.040,0.038,0.039,0.038,0.039,0.040,0.039,0.039
H,0.333,0.292,0.317,0.303,0.317,0.313,0.145,0.434,0.038,0.039,0.039,0.038
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Sample (nm),630,,,,,,,,,,,
Reference (nm),-1,,,,,,,,,,,
