feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,plate_id,row_id,column_id,seconds_time_sample,absorbance,created_at
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,100.0,1,A,1,0,0.117,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,50.0,1,A,2,0,0.129,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,33.333333333333336,1,A,3,0,0.124,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,25.0,1,A,4,0,0.122,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,20.0,1,A,5,0,0.114,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,16.666666666666668,1,A,6,0,0.148,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,14.285714285714286,1,A,7,0,0.118,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,12.5,1,A,8,0,0.709,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,11.11111111111111,1,A,9,0,0.139,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10.0,1,A,10,0,0.121,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,9.090909090909092,1,A,11,0,0.136,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,8.333333333333334,1,A,12,0,0.095,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,7.6923076923076925,1,B,1,0,0.082,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,7.142857142857143,1,B,2,0,0.098,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,6.666666666666667,1,B,3,0,0.084,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,6.25,1,B,4,0,0.096,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,5.882352941176471,1,B,5,0,0.088,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,5.555555555555555,1,B,6,0,0.089,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,5.2631578947368425,1,B,7,0,0.103,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,5.0,1,B,8,0,0.094,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,4.761904761904762,1,B,9,0,0.09,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,4.545454545454546,1,B,10,0,0.095,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,4.3478260869565215,1,B,11,0,0.094,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,4.166666666666667,1,B,12,0,0.09,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,4.0,1,C,1,0,0.084,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,3.8461538461538463,1,C,2,0,0.092,2025-10-26 01:20:36
10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,3.7037037037037037,1,C,3,0,0.087,2025-10-26 01:20:36
